timestamp,co2_emissions (PPM),drive_mode,engine_exhaust_flow_rate (Kg/h),engine_fuel_rate (l/min),engine_mode,engine_speed (rpm),execute_engine_power (KW),mass_air_flow (g/min),vehicle_speed (MPH),
142.0005,0.0007699636559999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,1.8641135767120016,
143.0005,0.0007899627119999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,2.278361038203558,
144.0004,0.0007849629480000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,3.728227153424004,
145.0005,0.0008149615319999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,4.763845807152894,
146.0004,0.000819961296,1.0,0.0,0.0,0.0,0.0,0.0,25.8,5.592340730136005,
147.0005,0.000844960116,1.0,0.0,0.0,0.0,0.0,0.0,25.8,6.420835653119117,
148.0005,0.000914956812,1.0,0.0,0.0,0.0,0.0,0.0,25.8,7.4564543068480065,
149.0005,0.000929956104,1.0,0.0,0.0,0.0,0.0,0.0,25.8,6.420835653119117,
150.0005,0.00094995516,1.0,0.0,0.0,0.0,0.0,0.0,25.8,6.2137119223733395,
151.0005,0.000964954452,1.0,0.0,0.0,0.0,0.0,0.0,25.8,9.113444152814232,
152.0005,0.000914956812,1.0,0.0,0.0,0.0,0.0,0.0,25.8,11.806052652509344,
153.0005,0.0008749586999999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,13.877289959967124,
154.0005,0.0008649591719999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,14.084413690712902,
155.0004,0.0008649591719999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.841671306238235,
156.0005,0.0008399603520000002,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.841671306238235,
157.0005,0.000854959644,1.0,0.0,0.0,0.0,0.0,0.0,25.8,14.084413690712902,
158.0005,0.000844960116,1.0,0.0,0.0,0.0,0.0,0.0,25.8,16.36277472891646,
159.0005,0.0008349605880000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,18.64113576712002,
160.0005,0.000829960824,1.0,0.0,0.0,0.0,0.0,0.0,25.8,19.883878151594686,
161.0005,0.000804962004,1.0,0.0,0.0,0.0,0.0,0.0,25.8,18.848259497865797,
162.0004,0.0007899627119999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,16.77702219040802,
163.0005,0.0007049667239999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,14.084413690712902,
164.0005,0.000729965544,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.634547575492457,
165.0004,0.0007849629479999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.427423844746679,
166.0005,0.0007899627119999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.013176383255123,
167.0004,0.0007449648359999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,11.806052652509345,
168.0004,0.0007349653079999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.427423844746679,
169.0005,0.0007499645999999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,14.084413690712902,
170.0005,0.0007749634199999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,15.741403536679124,
171.0005,0.000819961296,1.0,0.0,0.0,0.0,0.0,0.0,25.8,18.226888305628464,
172.0004,0.000844960116,1.0,0.0,0.0,0.0,0.0,0.0,25.8,20.298125613086242,
173.0005,0.0008399603520000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,22.783610382035576,
174.0005,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.061971420239136,
175.0004,0.0008599594079999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.097590073968025,
176.0004,0.0008649591719999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.340332458442692,
177.0004,0.0008499598799999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.168827381425803,
178.0004,0.000864959172,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.375951112171588,
179.0005,0.000889957992,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.58307484291736,
180.0005,0.000889957992,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.2044460351547,
181.0004,0.000889957992,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.2044460351547,
182.0005,0.0008799584639999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.2044460351547,
183.0005,0.0009149568119999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.58307484291736,
184.0004,0.000944955396,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.961703650680032,
185.0005,0.001019951856,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.961703650680032,
186.0004,0.00102495162,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.961703650680032,
187.0005,0.000984953508,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.133208727696914,
188.0004,0.000954954924,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.51183753545958,
189.0004,0.00094995516,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.47621888173069,
190.0005,0.0009349558679999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.890466343222247,
191.0005,0.0009199565759999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
192.0005,0.0009449553960000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.754579919934248,
193.0005,0.0009449553960000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.961703650680032,
194.0004,0.0009249563399999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.547456189188477,
195.0004,0.0008999575199999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.547456189188477,
196.0005,0.0008849582279999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.375951112171588,
197.0004,0.0008849582280000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.997322304408915,
198.0005,0.0008799584639999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.618693496646255,
199.0004,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.825817227392026,
200.0005,0.000844960116,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.825817227392026,
201.0004,0.000864959172,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.825817227392026,
202.0005,0.000879958464,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.825817227392026,
203.0004,0.0008699589359999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.825817227392026,
204.0005,0.0008699589359999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.825817227392026,
205.0005,0.0008749586999999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.618693496646255,
206.0004,0.000864959172,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.58307484291736,
207.0004,0.00084995988,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.51183753545958,
208.0004,0.000854959644,1.0,0.0,0.0,0.0,0.0,0.0,25.8,24.854847689493358,
209.0004,0.000889957992,1.0,0.0,0.0,0.0,0.0,0.0,25.8,23.197857843527135,
210.0005,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,22.990734112781357,
211.0005,0.0008999575199999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,23.81922903576447,
212.0004,0.000889957992,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.47621888173069,
213.0004,0.0008949577560000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.51183753545958,
214.0005,0.0008899579919999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
215.0005,0.0009149568119999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
216.0004,0.000914956812,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
217.0004,0.00094995516,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
218.0005,0.0009749539799999997,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
219.0005,0.00094995516,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.547456189188477,
220.0004,0.000964954452,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.168827381425803,
221.0005,0.0009599546879999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,28.997322304408915,
222.0004,0.0009449553960000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.2044460351547,
223.0004,0.0009249563399999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.2044460351547,
224.0004,0.0008949577560000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,29.825817227392026,
225.0004,0.000879958464,1.0,0.0,0.0,0.0,0.0,0.0,25.8,30.03294095813781,
226.0004,0.0008849582279999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,30.654312150375137,
227.0004,0.0009149568119999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,31.068559611866693,
228.0004,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,31.068559611866693,
229.0005,0.00084995988,1.0,0.0,0.0,0.0,0.0,0.0,25.8,31.275683342612478,
230.0005,0.000889957992,1.0,0.0,0.0,0.0,0.0,0.0,25.8,31.068559611866693,
